,problem_set,orientation,direction,target,solution,validity,generalizability,explainability_size,explainabilty_repeated_terms,explainabilty_cognitive_chunks,time_to_generate
0,0,Columns,Addition,43(earning_change),(no_find_origin) no solution found!,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Columns,Addition,43(earning_change),(all_numeric) (no extensions)y = 0.013 + -0.070 * number_of_children_2019 + -0.008 * housework_hours_per_week_2019 + -0.007 * personal_care_hours_per_week_2019 + -0.026 * checking_savings_total_amount_usd_2019 + -0.020 * credit_card_debt_total_usd_2019 + -0.639 * earnings_job_2018,0.21759416583741475,0.21575793012066247,7.0,0.0,1.0,0.03404498100280762
2,0,Columns,Addition,43(earning_change),(all_numeric) y = 0.068 + 0.062 * number_of_children_2019 + -0.546 * earnings_job_2018 + 0.002 * number_of_children_2019^2 + -0.053 * number_of_children_2019 earnings_job_2018 + -0.140 * number_of_children_2019 release_number_2019_0.0 + -0.003 * housework_hours_per_week_2019^2 + -0.001 * personal_care_hours_per_week_2019^2 + 0.000 * shopping_hours_per_week_2019^2 + -0.004 * shopping_hours_per_week_2019 leisure_hours_per_week_2019 + -0.001 * leisure_hours_per_week_2019^2 + 0.003 * bonus_income_2018_usd^2 + 0.172 * bonus_income_2018_usd earnings_job_2018 + -0.009 * checking_savings_total_amount_usd_2019^2 + -0.020 * checking_savings_total_amount_usd_2019 earnings_job_2018 + -0.003 * credit_card_debt_total_usd_2019^2 + -0.000 * times_arrested^2 + -0.045 * earnings_job_2018^2,0.21447290856692502,0.21270837454697167,18.0,0.0,3.0,0.11647200584411621
3,0,Columns,Addition,43(earning_change),(all_numeric) y = 0.057 + -0.006 * earnings_job_2018^2 + -0.425 * earnings_job_2018 release_number_2019_0.0 + -0.001 * number_of_children_2019^3 + -0.009 * number_of_children_2019^2 earnings_job_2018 + -0.002 * number_of_children_2019^2 release_number_2019_0.0 + -0.005 * number_of_children_2019 earnings_job_2018^2 + -0.001 * housework_hours_per_week_2019^3 + ε * housework_hours_per_week_2019^2 personal_care_hours_per_week_2019 + -0.007 * housework_hours_per_week_2019^2 earnings_job_2018 + ε * housework_hours_per_week_2019 times_arrested^2 + ε * personal_care_hours_per_week_2019^3 + -0.000 * personal_care_hours_per_week_2019^2 shopping_hours_per_week_2019 + 0.000 * personal_care_hours_per_week_2019^2 leisure_hours_per_week_2019 + ε * bonus_income_2018_usd^3 + 0.031 * bonus_income_2018_usd earnings_job_2018^2 + -0.002 * checking_savings_total_amount_usd_2019^3 + -0.007 * checking_savings_total_amount_usd_2019^2 earnings_job_2018 + ε * checking_savings_total_amount_usd_2019 times_arrested^2 + -0.000 * credit_card_debt_total_usd_2019^3 + -0.002 * credit_card_debt_total_usd_2019^2 earnings_job_2018 + ε * credit_card_debt_total_usd_2019 times_arrested^2 + ε * times_arrested^3 + -0.010 * earnings_job_2018^3,0.30103618490474404,0.296604132552689,24.0,0.0,4.0,0.3229219913482666
4,0,Columns,Addition,43(earning_change),(all_numeric) y = 0.029 + 0.001 * release_number_2019/leisure_hours_per_week_2019 + 0.000 * release_number_2019/checking_savings_total_amount_usd_2019 + 0.002 * release_number_2019/credit_card_debt_total_usd_2019 + 0.000 * number_of_children_2019/personal_care_hours_per_week_2019 + ε * number_of_children_2019/leisure_hours_per_week_2019 + ε * shopping_hours_per_week_2019/times_arrested + 0.000 * bonus_income_2018_usd/leisure_hours_per_week_2019 + ε * credit_card_debt_total_usd_2019/leisure_hours_per_week_2019 + 0.001 * times_arrested/leisure_hours_per_week_2019 + 0.081 * times_arrested/checking_savings_total_amount_usd_2019 + ε * number_of_children_20190/number_of_children_2019 + ε * number_of_children_20190/personal_care_hours_per_week_2019 + 0.002 * number_of_children_20190/shopping_hours_per_week_2019 + 0.001 * number_of_children_20190/leisure_hours_per_week_2019,0.19827201113935178,0.2009228478428402,15.0,10.0,4.0,0.8884677886962891
5,0,Columns,Addition,43(earning_change),(all_numeric) y = 0.015 + ε * exp(personal_care_hours_per_week_2019) + ε * exp(leisure_hours_per_week_2019) + ε * exp(credit_card_debt_total_usd_2019) + ε * exp(times_arrested),0.06402267207876011,0.05752610089826771,5.0,4.0,3.0,0.1171419620513916
6,0,Columns,Addition,43(earning_change),(all_numeric) y = 0.013 + -0.070 * number_of_children_2019 + -0.008 * housework_hours_per_week_2019 + -0.007 * personal_care_hours_per_week_2019 + -0.026 * checking_savings_total_amount_usd_2019 + -0.020 * credit_card_debt_total_usd_2019 + -0.639 * earnings_job_2018,0.21759416583741475,0.21575793012066247,7.0,0.0,1.0,0.043502092361450195
7,0,Columns,Addition,43(earning_change),(all_textual) (no extensions)y = -0.091 + 0.054 * school_internet_usage_frequency_2019_every_day + 0.008 * school_internet_usage_frequency_2019_few_times_a_week + -0.016 * school_internet_usage_frequency_2019_never + -0.103 * school_internet_usage_frequency_2019_not_in_school_past_30_days + -0.003 * job_internet_usage_frequency_2019_every_day + 0.039 * job_internet_usage_frequency_2019_few_times_a_week + -0.006 * happiness_frequency_last_month_2019_every_day + -0.071 * interest_in_life_frequency_last_month_2019_almost_every_day + 0.030 * satisfaction_frequency_last_month_2019_almost_every_day + 0.005 * contribution_to_society_frequency_2019_almost_every_day + -0.098 * community_belonging_frequency_2019_about_once_a_week + 0.003 * community_belonging_frequency_2019_almost_every_day + -0.069 * community_belonging_frequency_2019_once_or_twice + ε * society_getting_better_frequency_2019_almost_every_day + -0.028 * society_getting_better_frequency_2019_once_or_twice + 0.037 * society_getting_better_frequency_2019_two_or_three_times_a_week + 0.054 * people_are_good_frequency_2019_almost_every_day + -0.015 * people_are_good_frequency_2019_once_or_twice + -0.051 * people_are_good_frequency_2019_two_or_three_times_a_week + -0.118 * personality_thorough_worker_2019_describes_me_perfectly + 0.030 * personality_communicative_talkative_2019_describes_me_moderately + 0.037 * personality_communicative_talkative_2019_describes_me_perfectly + -0.008 * personality_sometimes_rude_2019_does_not_describe_me_at_all + 0.095 * personality_original_new_ideas_2019_describes_me_moderately + 0.128 * personality_worrier_2019_describes_me_perfectly + -0.013 * personality_worrier_2019_describes_me_very_little + 0.005 * personality_forgiving_2019_describes_me_perfectly + -0.054 * personality_somewhat_lazy_2019_describes_me_very_little + -0.035 * personality_somewhat_lazy_2019_describes_me_very_well + 0.005 * personality_somewhat_lazy_2019_describes_me_well + 0.002 * personality_outgoing_sociable_2019_describes_me_well + 0.081 * personality_values_artistic_experience_2019_describes_me_moderately + 0.015 * personality_values_artistic_experience_2019_describes_me_perfectly + 0.010 * personality_values_artistic_experience_2019_describes_me_well + 0.014 * personality_nervous_2019_describes_me_moderately + 0.073 * personality_effective_task_completion_2019_describes_me_very_well + -0.029 * personality_reserved_2019_describes_me_a_little + 0.062 * personality_reserved_2019_describes_me_moderately + 0.157 * personality_imaginative_2019_describes_me_moderately + -0.005 * personality_imaginative_2019_describes_me_perfectly + -0.069 * personality_imaginative_2019_describes_me_very_well + 0.011 * personality_imaginative_2019_describes_me_well + 0.002 * personality_relaxed_stress_handling_2019_describes_me_very_well + 0.024 * personality_eager_for_knowledge_2019_describes_me_perfectly + -0.037 * personality_eager_for_knowledge_2019_describes_me_very_well + 0.021 * went_without_health_insurance_2017_2018_no + -0.011 * went_without_health_insurance_2017_2018_yes + 0.007 * drinks_alcohol_2019_no + 0.029 * ever_arrested_no + -0.008 * ethnic_identity_importance_2019_not_at_all_important + 0.049 * ethnic_identity_importance_2019_not_very_important + 0.077 * current_state_fips_2019_California,0.21034789875006887,0.19473177347057957,53.0,0.0,2.0,0.608147144317627
